# SGE Audit Database
# file_path	package	status	tested	last_audited	notes
SynchronousAssetLoader.scala	assets.loaders	pass	no	2026-03-19	Single abstract method `load` ported.
TextureAtlasLoader.scala	assets.loaders	pass	no	2026-03-19	`load()` and `getDependencies()` ported. `TextureAtlasParameter` with flip field.; test: getDependencies resolves page textures; load assembles atlas (requires GL context)
TextureLoader.scala	assets.loaders	pass	no	2026-03-19	All methods ported. `TextureParameter` with 8 fields. Java dead code `if (info == null) return null` in `loadSync` correctly omitted.; test: loadAsync/loadSync with parameter-supplied and file-loaded data (requires GL context)
AssetDescriptor.scala	assets	pass	no	2026-03-19	4/4 constructors, 3/3 fields, 1/1 method (100%).
AssetErrorListener.scala	assets	pass	no	2026-03-19	1/1 method (100%).
AssetLoaderParameters.scala	assets	pass	no	2026-03-19	1/1 field, 1/1 inner type (100%).
AssetLoadingTask.scala	assets	pass	no	2026-03-19	8/8 methods and fields (100%).
AssetManager.scala	assets	pass	no	2026-03-19	All ~35 public methods ported (100%). `RefCountedContainer` inner class in companion object.; test: full lifecycle (load, update, unload, finishLoading, getProgress)
AudioDevice.scala	audio	pass	no	2026-03-19	All 7 interface methods accounted for. `dispose()` inherited via `Closeable.close()`.
AudioRecorder.scala	audio	pass	no	2026-03-19	All 2 interface methods accounted for. `dispose()` inherited via `Closeable.close()`.
AudioUtils.scala	audio	pass	yes	2026-03-19	SGE-original utility. `panToStereoVolumes` converts `Pan` + `Volume` to left/right channel volumes.
Music.scala	audio	pass	no	2026-03-19	All 11 interface methods + inner `OnCompletionListener` accounted for.
Pan.scala	audio	pass	yes	2026-03-19	SGE-original opaque type wrapping `Float`, range [-1, 1].
Pitch.scala	audio	pass	no	2026-03-19	SGE-original opaque type wrapping `Float`, range [0.5, 2.0].
Position.scala	audio	pass	no	2026-03-19	SGE-original opaque type wrapping `Float`, range [0, +inf).
Sound.scala	audio	pass	no	2026-03-19	All 15 interface methods accounted for.
SoundId.scala	audio	pass	no	2026-03-19	SGE-original opaque type wrapping `Long`.
Volume.scala	audio	pass	yes	2026-03-19	SGE-original opaque type wrapping `Float`, range [0, 1].
FileHandles.scala	files	pass	no	2026-03-19	All public instance methods ported. Static factory methods `tempFile`/`tempDirectory` intentionally omitted (desktop-only utilities). Convenience constructors omitted (only `(File, FileType)` primary constructor remains). `FileHandleStream` merged into this file.
FileType.scala	files	pass	no	2026-03-19	All 5 enum values (Classpath, Internal, External, Absolute, Local) faithfully ported.
Batch.scala	graphics.g2d	pass	no	2026-03-19	All 30+ interface methods present. All 20 vertex index constants (`X1..V4`) in companion object. `setShader` takes `Nullable[ShaderProgram]` instead of nullable `ShaderProgram`.
BitmapFont.scala	graphics.g2d	pass	no	2026-03-19	All main `BitmapFont` methods present: 5 `draw` overloads, `getColor`, `setColor`, `getScaleX/Y`, `getRegion(s)`, `getLineHeight`, `getSpaceXadvance`, `getXHeight`, `getCapHeight`, `getAscent`, `getDescent`, `isFlipped`, `close`, `setFixedWidthGlyphs`, `setUseIntegerPositions`, `usesIntegerPositions`, `getCache`, `getData`, `ownsTexture/setOwnsTexture`, `newFontCache`, `toString`. Inner class `Glyph` fully ported. `BitmapFontData` is a separate top-level class with all methods: `load`, `setGlyphRegion`, `getGlyphs`, `getWrapIndex`, `isBreakChar`, `getImagePath`, `getImagePaths`, `getFontFile`, `setScale(2)`, `scale`.
BitmapFontCache.scala	graphics.g2d	pass	no	2026-03-19	All public methods present: `setPosition`, `translate`, `tint`, `setAlphas`, `setColors(5)`, `getColor`, `setColor(2)`, `draw(3)`, `clear`, `setText(5)`, `addText(5)`, `getX`, `getY`, `getFont`, `setUseIntegerPositions`, `usesIntegerPositions`, `getPageCount`, `getVertices(2)`, `getVertexCount`, `getLayouts`.
CpuSpriteBatch.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 3 constructors, `flushAndSyncTransformMatrix`, `getTransformMatrix`, `setTransformMatrix(Matrix4)`, `setTransformMatrix(Affine2)`, all 13 `draw` overrides. Companion object helpers for affine math.
DistanceFieldFont.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 7 constructors, `load` override, `newFontCache`, `getDistanceFieldSmoothing`, `setDistanceFieldSmoothing`, `createDistanceFieldShader` (in companion). Inner class `DistanceFieldFontCache` fully ported. Vertex shader includes `v_texCoords` assignment.
Gdx2DPixmap.scala	graphics.g2d	pass	no	2026-03-19	All instance methods present: 5 constructors, `close`, `clear`, `setPixel`, `getPixel`, `drawLine`, `drawRect`, `drawCircle`, `fillRect`, `fillCircle`, `fillTriangle`, `drawPixmap(2)`, `setBlend`, `setScale`, `getGLInternalFormat`, `getGLFormat`, `getGLType`, `getFormatString`, `getPixels`, `getHeight`, `getWidth`, `getFormat`. Companion object has all constants and `toGlFormat`/`toGlType`.
GlyphLayout.scala	graphics.g2d	minor_issues	no	2026-03-19	All public methods present: 3 constructors, `setText(3)`, `reset`, `toString`. Inner class `GlyphRun` fully ported with `appendRun`, `reset`, `toString`.; `minor`: Raw `null` for `lineRun`/`lastGlyph` local vars in `setText` — hot-loop sentinel with 50+ direct access sites; documented as intentional exception to no-null convention.
NinePatch.scala	graphics.g2d	pass	no	2026-03-19	All 9 constructors, all public methods: `draw(2)`, `setColor`, `getColor`, `getLeftWidth/setLeftWidth`, `getRightWidth/setRightWidth`, `getTopHeight/setTopHeight`, `getBottomHeight/setBottomHeight`, `getMiddleWidth/setMiddleWidth`, `getMiddleHeight/setMiddleHeight`, `getTotalWidth`, `getTotalHeight`, `setPadding`, `getPadLeft/setPadLeft`, `getPadRight/setPadRight`, `getPadTop/setPadTop`, `getPadBottom/setPadBottom`, `scale`, `getTexture`. All 9 constants in companion object.
ParticleEffectPool.scala	graphics.g2d	pass	no	2026-03-19	All methods present: `newObject`, `free`. Inner class `PooledEffect` with `free` and `reset`.; None — `PooledEffect.reset()` fixed to correctly delegate to pool reset semantics.
ParticleEmitter.scala	graphics.g2d	pass	no	2026-03-19	All public methods present: constructors, `setMaxParticleCount`, `addParticle`, `addParticles`, `update`, `draw(2)`, `start`, `reset(2)`, `setPosition`, `setSprites`, `setSpriteMode`, `preAllocateParticles`, `allowCompletion`/`getAllowCompletion`, getters/setters for all value types, `save`, `load`, `setFlip`, `flipYValues`, `getBoundingBox`, `scaleSize(2)`, `scaleMotion`, `matchSize`, `matchXSize`, `matchYSize`, `matchMotion`. All inner classes: `Particle`, `ParticleValue`, `NumericValue`, `RangedNumericValue`, `ScaledNumericValue`, `IndependentScaledNumericValue`, `GradientColorValue`, `SpawnShapeValue`. Enums: `SpawnShape`, `SpawnEllipseSide`, `SpriteMode`.
PixmapPacker.scala	graphics.g2d	pass	no	2026-03-19	All public methods present: 3 constructors, `sort`, `pack(2)`, `getPages`, `getRect`, `getPage`, `getPageIndex`, `dispose`, `generateTextureAtlas`, `updateTextureAtlas(2)`, `updateTextureRegions`, `updatePageTextures`, getters/setters for all properties. Inner types: `PackStrategy`, `Page`, `Bounds`, `PixmapPackerRectangle`, `GuillotineStrategy`, `GuillotinePage`, `SkylineStrategy`, `SkylinePage`. Also has `getTransparentColor`/`setTransparentColor`, `getSplitPoint`, `getSplits`, `getPads`.; None — `SkylineStrategy`/`SkylinePage` inner classes implemented.
PixmapPackerIO.scala	graphics.g2d	pass	no	2026-03-19	All methods present: `save(2)`. Inner types: `ImageFormat` enum with `CIM`/`PNG`, `SaveParameters` class.
PolygonBatch.scala	graphics.g2d	pass	no	2026-03-19	All 4 interface methods present: `draw(PolygonRegion,x,y)`, `draw(PolygonRegion,x,y,w,h)`, `draw(PolygonRegion,x,y,originX,originY,w,h,scaleX,scaleY,rotation)`, `draw(Texture,polygonVertices,...)`.
PolygonRegion.scala	graphics.g2d	pass	no	2026-03-19	All methods present: constructor, `getVertices`, `getTriangles`, `getTextureCoords`, `getRegion`.
PolygonRegionLoader.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 2 constructors, `load(AssetManager,...)` fully implemented using `AssetManager.apply()` and `getDependencies()`, `getDependencies`, `load(TextureRegion,FileHandle)`. Inner class `PolygonRegionParameters`.
PolygonSprite.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 2 constructors, `set`, `setBounds`, `setSize`, `setPosition`, `setX`, `setY`, `translateX`, `translateY`, `translate`, `setColor(2)`, `setOrigin`, `setRotation`, `rotate`, `setScale(2)`, `scale`, `getVertices`, `getBoundingRectangle`, `draw(2)`, all getters. `setRegion`, `getRegion`.
PolygonSpriteBatch.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 4 constructors, all `PolygonBatch` and `Batch` interface methods, `flush`, `disableBlending`/`enableBlending`, `setBlendFunction`/`setBlendFunctionSeparate`, all blend getters, `close`, `getProjectionMatrix`/`setProjectionMatrix`, `getTransformMatrix`/`setTransformMatrix`, `setShader`, `getShader`, `isBlendingEnabled`, `isDrawing`. Public fields: `renderCalls`, `totalRenderCalls`, `maxTrianglesInBatch`.
RepeatablePolygonSprite.scala	graphics.g2d	pass	no	2026-03-19	All methods present: `setPolygon(2)`, `draw`, `setColor`, `setPosition`. Private methods: `snapToGrid`, `offset`, `buildVertices`. Uses `Intersector.intersectPolygons` for proper polygon intersection.
Sprite.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 7 constructors, `set`, `setBounds`, `setSize`, `setPosition`, `setOriginBasedPosition`, `setX`, `setY`, `setCenterX`, `setCenterY`, `setCenter`, `translateX`, `translateY`, `translate`, `setColor(2)`, `setAlpha`, `setPackedColor`, `setOrigin`, `setOriginCenter`, `setRotation`, `getRotation`, `rotate`, `rotate90`, `setScale(2)`, `scale`, `getVertices`, `getBoundingRectangle`, `draw(2)`, all getters, `setRegion` override, `setU/V/U2/V2` overrides, `setFlip`, `flip` override, `scroll` override. Companion object has `VERTEX_SIZE`, `SPRITE_SIZE`, vertex index constants.
SpriteBatch.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 3 constructors, all `Batch` interface methods fully implemented: `begin`, `end`, `setColor(2)`, `getColor`, `setPackedColor`, `getPackedColor`, all 13 `draw` overloads, `flush`, `disableBlending`/`enableBlending`, `setBlendFunction`/`setBlendFunctionSeparate`, blend getters, `close`, `getProjectionMatrix`/`setProjectionMatrix`, `getTransformMatrix`/`setTransformMatrix`, `setShader`, `getShader`, `isBlendingEnabled`, `isDrawing`. `createDefaultShader` in companion.
SpriteCache.scala	graphics.g2d	pass	no	2026-03-19	All methods present: 3 constructors, `setColor(2)`, `getColor`, `setPackedColor`, `getPackedColor`, `beginCache(2)`, `endCache`, `clear`, `add(8 overloads)`, `begin`, `end`, `draw(2)`, `close`, `getProjectionMatrix`/`setProjectionMatrix`, `getTransformMatrix`/`setTransformMatrix`, `setShader`, `getCustomShader`, `isDrawing`. Inner class `Cache`. `createDefaultShader` in companion.
TextureAtlas.scala	graphics.g2d	pass	no	2026-03-19	All public methods present: 7 constructors, `load`, `addRegion(2)`, `getRegions`, `findRegion(2)`, `findRegions`, `createSprites(2)`, `createSprite(2)`, `createPatch`, `getTextures`, `close`. Inner types: `TextureAtlasData` with `load`, `getPages`, `getRegions`, `readEntry`, `Field`, `Page`, `Region`. `AtlasRegion` with `flip` override, `getRotatedPackedWidth/Height`, `findValue`, `toString`. `AtlasSprite` with all override methods.
TextureRegion.scala	graphics.g2d	pass	no	2026-03-19	All constructors present (7). All instance methods: `setRegion(5)`, `getTexture`, `setTexture`, `getU/setU`, `getV/setV`, `getU2/setU2`, `getV2/setV2`, `getRegionX/setRegionX`, `getRegionY/setRegionY`, `getRegionWidth/setRegionWidth`, `getRegionHeight/setRegionHeight`, `flip`, `flipX`, `flipY`, `scroll`, `split(Int,Int)`. Companion has `split(Texture,...)`, `createSubRegion`, `splitWithMargins`.
BlendingAttribute.scala	graphics.g3d.attributes	pass	no	2026-03-19	All 4 fields (`blended`, `sourceFunction`, `destFunction`, `opacity`), `Alias`, `Type`, `is()`, 6 constructors, `copy`, `hashCode`, `compare` accounted for.
ColorAttribute.scala	graphics.g3d.attributes	pass	no	2026-03-19	All 7 alias/type pairs (`Diffuse`, `Specular`, `Ambient`, `Emissive`, `Reflection`, `AmbientLight`, `Fog`), `Mask`, `is()`, 14 factory methods (7 Color overloads + 7 RGBA overloads), 4 constructors, `copy`, `hashCode`, `compare` accounted for.
CubemapAttribute.scala	graphics.g3d.attributes	pass	no	2026-03-19	All fields (`textureDescription`), `EnvironmentMapAlias`, `EnvironmentMap`, `Mask`, `is()`, 3 constructors (type-only, type+Cubemap, copy), `copy`, `hashCode`, `compare` accounted for.
DepthTestAttribute.scala	graphics.g3d.attributes	pass	no	2026-03-19	All 4 fields (`depthFunc`, `depthRangeNear`, `depthRangeFar`, `depthMask`), `Alias`, `Type`, `Mask`, `is()`, 8 constructors (including copy), `copy`, `hashCode`, `compare` accounted for.
DirectionalLightsAttribute.scala	graphics.g3d.attributes	minor_issues	no	2026-03-19	All fields (`lights`), `Alias`, `Type`, `is()`, 2 constructors, `copy`, `hashCode`, `compare` accounted for.; 1 -- `FIXME implement comparing` (same as Java source)
FloatAttribute.scala	graphics.g3d.attributes	pass	no	2026-03-19	All 2 constants (`Shininess`, `AlphaTest`), 2 aliases, 2 factory methods, `copy`, `hashCode`, `compare` accounted for.
IntAttribute.scala	graphics.g3d.attributes	pass	no	2026-03-19	All 1 constant (`CullFace`), 1 alias, 1 factory method (`createCullFace`), `copy`, `hashCode`, `compare` accounted for.
PointLightsAttribute.scala	graphics.g3d.attributes	minor_issues	no	2026-03-19	All fields (`lights`), `Alias`, `Type`, `is()`, 2 constructors, `copy`, `hashCode`, `compare` accounted for.; 1 -- `FIXME implement comparing` (same as Java source)
SpotLightsAttribute.scala	graphics.g3d.attributes	minor_issues	no	2026-03-19	All fields (`lights`), `Alias`, `Type`, `is()`, 2 constructors, `copy`, `hashCode`, `compare` accounted for.; 1 -- `FIXME implement comparing` (same as Java source)
TextureAttribute.scala	graphics.g3d.attributes	pass	no	2026-03-19	All 7 alias/type pairs (`Diffuse`, `Specular`, `Bump`, `Normal`, `Ambient`, `Emissive`, `Reflection`), `Mask`, `is()`, 14 factory methods (7 Texture + 7 TextureRegion), 6 fields (`textureDescription`, `offsetU`, `offsetV`, `scaleU`, `scaleV`, `uvIndex`), `set(TextureRegion)`, `copy`, `hashCode`, `compare` accounted for.
CameraGroupStrategy.scala	graphics.g3d.decals	pass	no	2026-03-19	
Decal.scala	graphics.g3d.decals	pass	no	2026-03-19	
DecalBatch.scala	graphics.g3d.decals	pass	no	2026-03-19	
DecalMaterial.scala	graphics.g3d.decals	pass	no	2026-03-19	
GroupPlug.scala	graphics.g3d.decals	pass	no	2026-03-19	
GroupStrategy.scala	graphics.g3d.decals	pass	no	2026-03-19	
PluggableGroupStrategy.scala	graphics.g3d.decals	pass	no	2026-03-19	
SimpleOrthoGroupStrategy.scala	graphics.g3d.decals	pass	no	2026-03-19	
AmbientCubemap.scala	graphics.g3d.environment	pass	no	2026-03-19	
BaseLight.scala	graphics.g3d.environment	pass	no	2026-03-19	
DirectionalLight.scala	graphics.g3d.environment	pass	no	2026-03-19	
DirectionalShadowLight.scala	graphics.g3d.environment	pass	no	2026-03-19	
PointLight.scala	graphics.g3d.environment	pass	no	2026-03-19	
ShadowMap.scala	graphics.g3d.environment	pass	no	2026-03-19	
SphericalHarmonics.scala	graphics.g3d.environment	pass	no	2026-03-19	
SpotLight.scala	graphics.g3d.environment	pass	no	2026-03-19	
G3dModelJson.scala	graphics.g3d.loader	pass	no	2026-03-19	Typed JSON DTOs for .g3dj format: G3dModelJson, G3dMeshJson, G3dMeshPartJson,
G3dModelLoader.scala	graphics.g3d.loader	pass	no	2026-03-19	All methods present: `parseModel`, `parseMeshes`, `parseType`, `parseAttributes`,
ObjLoader.scala	graphics.g3d.loader	pass	no	2026-03-19	All public methods present: `loadModel(FileHandle, Boolean)`, `loadModelData`; 1 — test: decode a real .obj/.mtl file end-to-end (inherited from audit, not a code issue)
ModelAnimation.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields present (id, nodeAnimations).
ModelData.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields and methods present (id, version, meshes, materials, nodes, animations, addMesh).
ModelMaterial.scala	graphics.g3d.model.data	minor_issues	no	2026-03-19	All Java public fields present (id, type/materialType, ambient, diffuse, specular, emissive, reflection, shininess, opacity, textures). Inner enum `MaterialType` (Lambert, Phong) present in companion object.
ModelMesh.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields present (id, attributes, vertices, parts).
ModelMeshPart.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields present (id, indices, primitiveType).
ModelNode.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields present (id, translation, rotation, scale, meshId, parts, children).
ModelNodeAnimation.scala	graphics.g3d.model.data	pass	no	2026-03-19	"All Java public fields present (nodeId, translation, rotation, scaling).; FIXME from Java preserved (""should be nodeId"" — already named `nodeId` in both Java and Scala)"
ModelNodeKeyframe.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields present (keytime, value).
ModelNodePart.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields present (materialId, meshPartId, bones, uvMapping).
ModelTexture.scala	graphics.g3d.model.data	pass	no	2026-03-19	All Java public fields and constants present (id, fileName, uvTranslation, uvScaling, usage, USAGE_UNKNOWN through USAGE_REFLECTION).
Animation.scala	graphics.g3d.model	pass	no	2026-03-19	All Java public fields present (id, duration, nodeAnimations).
MeshPart.scala	graphics.g3d.model	pass	no	2026-03-19	All Java public methods and fields present. Constructors (no-arg, 5-arg, copy) all present. `set(MeshPart)`, `set(5-arg)`, `update()`, `equals(MeshPart)`, `equals(Any)`, `render(ShaderProgram, Boolean)`, `render(ShaderProgram)` all present.; None — non-standard `hashCode()` override removed; `equals`/`hashCode` contract now consistent with Java source.
Node.scala	graphics.g3d.model	pass	no	2026-03-19	All Java public methods and fields present. Static `getNode` correctly in companion object.; FIXME comment preserved from Java (id uniqueness question)
NodeAnimation.scala	graphics.g3d.model	pass	no	2026-03-19	All Java public fields present (node, translation, rotation, scaling).
NodeKeyframe.scala	graphics.g3d.model	pass	no	2026-03-19	All Java public fields present (keytime, value). Constructor matches Java.
NodePart.scala	graphics.g3d.model	pass	no	2026-03-19	"All Java public methods and fields present (meshPart, material, invBoneBindTransforms, bones, enabled, constructors, setRenderable, copy, set).; FIXME from Java preserved (""add copy constructor and override #equals"")"
BillboardParticleBatch.scala	graphics.g3d.particles.batches	pass	no	2026-03-19	
BufferedParticleBatch.scala	graphics.g3d.particles.batches	pass	no	2026-03-19	
ModelInstanceParticleBatch.scala	graphics.g3d.particles.batches	pass	no	2026-03-19	
ParticleBatch.scala	graphics.g3d.particles.batches	pass	no	2026-03-19	
PointSpriteParticleBatch.scala	graphics.g3d.particles.batches	pass	no	2026-03-19	
Emitter.scala	graphics.g3d.particles.emitters	pass	no	2026-03-19	
RegularEmitter.scala	graphics.g3d.particles.emitters	pass	no	2026-03-19	
ColorInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
DynamicsInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
DynamicsModifier.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
Influencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
ModelInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
ParticleControllerFinalizerInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
ParticleControllerInfluencer.scala	graphics.g3d.particles.influencers	minor_issues	no	2026-03-19	
RegionInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
ScaleInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
SimpleInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
SpawnInfluencer.scala	graphics.g3d.particles.influencers	pass	no	2026-03-19	
BillboardControllerRenderData.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
BillboardRenderer.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
ModelInstanceControllerRenderData.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
ModelInstanceRenderer.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
ParticleControllerControllerRenderer.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
ParticleControllerRenderData.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
ParticleControllerRenderer.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
PointSpriteControllerRenderData.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
PointSpriteRenderer.scala	graphics.g3d.particles.renderers	pass	no	2026-03-19	
CylinderSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
EllipseSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
GradientColorValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
LineSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
MeshSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
NumericValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
ParticleValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
PointSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
PrimitiveSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
RangedNumericValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
RectangleSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
ScaledNumericValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
SpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
UnweightedMeshSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
WeightMeshSpawnShapeValue.scala	graphics.g3d.particles.values	pass	no	2026-03-19	
ParallelArray.scala	graphics.g3d.particles	pass	no	2026-03-19	
ParticleChannels.scala	graphics.g3d.particles	pass	no	2026-03-19	
ParticleController.scala	graphics.g3d.particles	minor_issues	no	2026-03-19	
ParticleControllerComponent.scala	graphics.g3d.particles	pass	no	2026-03-19	
ParticleEffect.scala	graphics.g3d.particles	pass	no	2026-03-19	
ParticleEffectLoader.scala	graphics.g3d.particles	minor_issues	no	2026-03-19	
ParticleShader.scala	graphics.g3d.particles	pass	no	2026-03-19	
ParticleSorter.scala	graphics.g3d.particles	minor_issues	no	2026-03-19	
ParticleSystem.scala	graphics.g3d.particles	pass	no	2026-03-19	
ResourceData.scala	graphics.g3d.particles	minor_issues	no	2026-03-19	
BaseShader.scala	graphics.g3d.shaders	pass	no	2026-03-19	
DefaultShader.scala	graphics.g3d.shaders	pass	no	2026-03-19	
DepthShader.scala	graphics.g3d.shaders	pass	no	2026-03-19	
ArrowShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — single `build` method ported.
BaseShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all fields, pools, and methods ported.
BoxShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 6 `build` overloads ported.
CapsuleShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — single `build` method ported.
ConeShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 3 `build` overloads ported.; None (FIXME comments preserved from Java source)
CylinderShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 3 `build` overloads ported.; None (FIXME comments preserved from Java source)
EllipseShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 22 `build` overloads ported.
FrustumShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 4 methods ported (3 `build` + `middlePoint` + `centerPoint`).
PatchShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 3 `build` overloads ported.; Fixed — missing `.setUV()` calls in 2nd and 3rd `build` overloads (would have broken texture-mapped patches)
RenderableShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 3 public methods and 4 private helpers ported.
SphereShapeBuilder.scala	graphics.g3d.utils.shapebuilders	pass	no	2026-03-19	Full — all 4 `build` overloads ported.
AnimationController.scala	graphics.g3d.utils	pass	no	2026-03-19	Inner `AnimationListener` (interface->trait), `AnimationDesc` (static class->companion object class), all 8 public fields, `update(float)`, 6 `setAnimation` overloads, 7 `animate` overloads, 3 `queue` overloads, 4 `action` overloads fully ported.
BaseAnimationController.scala	graphics.g3d.utils	pass	no	2026-03-19	Inner `Transform` class (static->companion object), all methods (`begin`, `apply`, `end`, `applyAnimation`, `applyAnimations`, `removeAnimation`, `getFirstKeyframeIndexAtTime`, `getTranslationAtTime`, `getRotationAtTime`, `getScalingAtTime`, `getNodeAnimationTransform`, `applyNodeAnimationDirectly`, `applyNodeAnimationBlending`) fully ported.; None (mutable.Map is functionally equivalent to ObjectMap for this use case)
BaseShaderProvider.scala	graphics.g3d.utils	pass	no	2026-03-19	All 3 methods (`getShader`, `createShader`, `close`) and 1 field (`shaders`) fully ported.
