# SGE Quality Issues Database
# id	file_path	category	status	severity	description	last_updated
ISS-099	(integration-test)	test_gap	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-100	(integration-test)	test_gap	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-101	(integration-test)	test_gap	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-102	scenes/scene2d/Stage.scala	review-claude	open	minor	`scenes/scene2d/Stage.scala` — TouchFocus	2026-03-19
ISS-103	scenes/scene2d/Event.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-104	scenes/scene2d/Action.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-105	scenes/scene2d/ui/Cell.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-106	graphics/g3d/utils/BaseAnimationController.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-107	graphics/g3d/utils/MeshPartBuilder.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-108	math/FloatCounter.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-109	CheckBox.scala	review-claude	open	info	`CheckBox.scala:51` — `style.asInstanceOf[CheckBoxStyle]`	2026-03-19
ISS-110	Slider.scala	review-claude	open	info	`Slider.scala:93-122` — 5 `super.getStyle.asInstanceOf[SliderStyle]`	2026-03-19
ISS-111	Container.scala	review-claude	open	info	`Container.scala:207` — `a.asInstanceOf[Actor]`	2026-03-19
ISS-112	sge/src/main/scala/sge/math/Quaternion.scala	review-claude	open	critical	`sge/src/main/scala/sge/math/Quaternion.scala:994-995` — `tmp1`, `tmp2`	2026-03-19
ISS-113	sge/src/main/scala/sge/math/Intersector.scala	review-claude	open	critical	`sge/src/main/scala/sge/math/Intersector.scala:42-68` — `v0`, `v1`, `v2`, `tmp`, `ip`, `ep1`, etc.	2026-03-19
ISS-114	BufferUtils.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-115	GLFrameBuffer.scala	review-claude	open	minor	`GLFrameBuffer.scala` — `ByteBuffer.allocateDirect(16 * Integer.SIZE / 8)`	2026-03-19
ISS-116	ShaderProgram.scala	review-claude	open	minor	`ShaderProgram.scala` — `ByteBuffer` with `nativeOrder()`	2026-03-19
ISS-117	FileHandles.scala	review-claude	open	minor	`FileHandles.scala` — `RandomAccessFile` + `FileChannel.map()` → memory-mapped I/O	2026-03-19
ISS-118	FileHandles.scala	review-claude	open	minor	**Scala.js**: `java.io.File` is **not available**. `FileHandles.scala` cannot compile on	2026-03-19
ISS-119	GLVersion.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-120	AssetLoadingTask.scala	review-claude	open	minor	`AssetLoadingTask.scala` — 7 volatile fields for async state	2026-03-19
ISS-121	Timer.scala	review-claude	open	minor	`Timer.scala` — `timer: Option[Timer]` volatile field	2026-03-19
ISS-122	SgeHttpClient.scala	review-claude	open	minor	`SgeHttpClient.scala` — `cancelled: Boolean` volatile field	2026-03-19
ISS-123	Cell.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-124	Timer.scala	review-claude	resolved	minor	Verified resolved 2026-03-19	2026-03-19
ISS-125	DesktopApplicationBase.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-126	DesktopApplicationConfig.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-127	DesktopWindowConfig.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-128	DesktopWindowListener.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-129	DesktopFiles.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-130	MiniaudioEngine.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-131	DesktopSound.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-132	DesktopPreferences.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-133	DesktopNet.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-134	DesktopClipboard.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-135	DesktopCursor.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-136	FrameSync.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-137	DesktopAudioDevice.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-138	WavDecoder.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-139	BrowserApplicationConfig.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-140	BrowserGraphics.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-141	WebGL20.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-142	BrowserInput.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-143	BrowserAudio.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-144	BrowserFiles.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-145	BrowserLogger.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-146	BrowserNet.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-147	BrowserPreferences.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-148	BrowserClipboard.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-149	BrowserCursor.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-150	BrowserSensors.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-151	HeadlessApplication.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-152	DesktopFiles.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-153	DesktopNet.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-154	SpriteBatch.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-155	SpriteCache.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-156	DefaultShader.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-157	ShapeRenderer.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-158	GLFrameBuffer.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-159	MeshBuilder.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-160	GlyphLayout.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-161	BitmapFont.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-162	TextField.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-163	Table.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-164	Stage.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-165	ScrollPane.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-166	Tree.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-167	SelectBox.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-168	AssetManager.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-169	Model.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-170	G3dModelLoader.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-171	Skin.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-172	Intersector.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-173	EarClippingTriangulator.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-174	ParticleEmitter.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-175	BaseTmxMapLoader.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-176	TmxMapLoader.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-177	ModelLoader.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-178	BaseShader.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-179	TimSort.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-180	Nullable.scala	review-claude	resolved	major	Verified resolved 2026-03-19	2026-03-19
ISS-181	(review)	review-codex	open	info	[RR-001] #### RR-001. `Gdx2DPixmap` is still stub-only, so Pixmap-backed rendering remains blocked	2026-03-19
ISS-182	sge/src/main/scala/sge/graphics/g2d/Gdx2DPixmap.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-183	sge/src/main/scala/sge/graphics/Pixmap.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-184	(review)	review-codex	open	info	[RR-002] #### RR-002. Physics extension links against the wrong native library name	2026-03-19
ISS-185	physics/src/main/scalajvm/sge/platform/PhysicsOpsPanama.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-186	physics/src/main/scalanative/sge/platform/PhysicsOpsNative.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-187	build/src/main/scala/sge/sbt/SgeNativeLibs.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-188	(review)	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-189	freetype/src/main/scalajvm/sge/platform/FreetypeOpsPanama.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-190	(review)	review-codex	open	info	[RR-004] #### RR-004. Physics ray-cast result encoding is incorrect and loses handle information	2026-03-19
ISS-191	physics/src/main/scala/sge/physics/PhysicsWorld.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-192	physics/src/main/scalajvm/sge/platform/PhysicsOpsPanama.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-193	physics/src/main/scalanative/sge/platform/PhysicsOpsNative.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-194	(review)	review-codex	open	info	[RR-005] #### RR-005. Android Panama provider is a compile-time stub, so JVM-side FFI helpers are not Android-ready	2026-03-19
ISS-195	android/src/main/scala/sge/platform/PanamaPortProvider.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-196	sge/src/main/scalajvm/sge/platform/Panama.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-197	sge/src/main/scalajvm/sge/platform/PlatformOps.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-198	sge/src/main/scala/sge/utils/BufferUtils.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-199	sge/src/main/scala/sge/graphics/glutils/ETC1.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-200	(review)	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-201	sge/src/main/scaladesktop/sge/DefaultDesktopInput.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-202	sge/src/main/scalajvm/sge/AndroidInput.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-203	(review)	review-codex	open	info	[RR-007] #### RR-007. Extension modules have effectively no direct test suite	2026-03-19
ISS-204	(review)	review-codex	open	info	[RR-008] #### RR-008. CI validates only the core `sge` test task and misses extension-module regressions	2026-03-19
ISS-205	(review)	review-codex	open	info	[RR-009] #### RR-009. `sge-freetype` and `sge-physics` are cross-built for Scala.js even though their JS implementations are runtime stubs	2026-03-19
ISS-206	freetype/src/main/scalajs/sge/platform/FreetypeOpsJs.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-207	freetype/src/main/scalajs/sge/platform/FreetypePlatform.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-208	physics/src/main/scalajs/sge/platform/PhysicsOpsJs.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-209	physics/src/main/scalajs/sge/platform/PhysicsPlatform.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-210	(review)	review-codex	open	info	[RR-010] #### RR-010. The default 3D particle-effect loader is still structurally stubbed and appears unusable	2026-03-19
ISS-211	sge/src/main/scala/sge/assets/AssetManager.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-212	sge/src/main/scala/sge/graphics/g3d/particles/ParticleEffectLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-213	sge/src/main/scala/sge/graphics/g3d/particles/ResourceData.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-214	sge/src/main/scala/sge/graphics/g3d/particles/batches/ModelInstanceParticleBatch.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-215	(review)	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-216	sge/src/main/scala/sge/graphics/TextureData.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-217	sge/src/main/scala/sge/graphics/Texture.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-218	sge/src/main/scala/sge/assets/loaders/TextureLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-219	sge/src/main/scala/sge/graphics/glutils/FacedCubemapData.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-220	sge/src/main/scala/sge/graphics/glutils/FileTextureArrayData.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-221	(review)	review-codex	open	info	[RR-012] #### RR-012. `TextFormatter` is still a simplified placeholder, so `I18NBundle.format` semantics diverge from LibGDX	2026-03-19
ISS-222	sge/src/main/scala/sge/utils/TextFormatter.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-223	sge/src/main/scala/sge/utils/I18nBundle.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-224	(review)	review-codex	open	info	[RR-013] #### RR-013. `SgeNativesLoader.load()` is a compatibility shell that marks natives as loaded without actually loading anything	2026-03-19
ISS-225	sge/src/main/scala/sge/utils/SgeNativesLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-226	(review)	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-227	sge/src/main/scala/sge/utils/TimSort.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-228	sge/src/main/scala/sge/utils/Sort.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-229	sge/src/test/scala/sge/utils/SortTest.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-230	(review)	review-codex	open	info	[RR-015] #### RR-015. Binary `.g3db` model loading is missing because `UBJsonReader` has not been ported	2026-03-19
ISS-231	sge/src/main/scala/sge/assets/AssetManager.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-232	sge/src/main/scala/sge/graphics/g3d/loader/G3dModelLoader.scala	review-codex	resolved	info	Verified resolved 2026-03-19	2026-03-19
ISS-233	(review)	review-codex	open	info	[RR-016] #### RR-016. Multiple important end-to-end loader flows are still explicitly untested	2026-03-19
